Paper title,Link,Year,Citations,Mentioned definitions (put explicit terms and definitions),Mentioned methods to tackle harmful speech
The better angels of our digital nature? Offensive cyber capabilities and state violence,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B225F961FD2212E34FDB0B267A1CB5E6/S2057563721000201a.pdf/div-class-title-the-better-angels-of-our-digital-nature-offensive-cyber-capabilities-and-state-violence-div.pdf,2021,,,
DIGITAL VIOLENCE AND WOMEN: SYSTEMATIZATION OF RESEARCHS AND SUGGESTIONS FOR FUTURE RESEARCH,https://dergipark.org.tr/en/pub/anadoluibfd/article/1187094,2023,,,
Towards a Definition of Hate Speech—With a Focus on Online Contexts,https://journals.sagepub.com/doi/pdf/10.1177/01968599221124309,2023,,,
Defining and diminishing hate speech,https://dangerousspeech.org/wp-content/uploads/2014/07/mrg-state-of-the-worlds-minorities-2014-chapter02.pdf,2014,,,
WHAT IS HATE SPEECH? PART 2: FAMILY RESEMBLANCES,https://link.springer.com/content/pdf/10.1007/s10982-017-9300-x.pdf,2017,,,
Differentiating hate speech: a systemic discrimination approach,https://www.tandfonline.com/doi/10.1080/13698230.2019.1576006,2019,,,
Hate speech; an overview and recommendations for combating it,https://www.humanrights.is/static/files/Skyrslur/Hatursraeda/hatursraeda-utdrattur.pdf,2018,,"In dealing with cases concerning incitement to hatred, the European Court of Human Rights (EctHR) has not defined hate speech but refers to it as „all forms of expression, verbal or written , which spread, incite, promote or justify hatred based on intolerance (also on grounds of religion)“.","Convinced not only that media coverage can be crucial in times of crisis by providing accurate, timely and comprehensive information, but also that media professionals can make a positive contribution to the prevention or resolution of certain crisis situations by adhering to the highest professional standards and by fostering a culture of tolerance and understanding between different groups in society.“"
NGO Digital Gerwalt,https://www.aktiv-gegen-digitale-gewalt.de/de/digitale-gewalt.html,,,"Hatespeech is when people are publicly insulted, devalued or threatened online or when violence is incited. It also includes threats of rape and calls for suicide.

Such aggressive messages often come from a large number of people at the same time, usually in response to a specific post or article published online. This is often referred to as a hatestorm.","Cyberstalking
Image-based sexual violence
Cybermobbing
Identitätsdiebstahl
Doxing
Hatespeech"
Hate Speech (Stanford Encyclopedia of Philosophy),https://plato.stanford.edu/ENTRIES/hate-speech/,2022,,,
A Unified Typology of Harmful Content,https://aclanthology.org/2020.alw-1.16.pdf,2020,,,"Umbrella term: Online harm

Hate and Harassment
Doxing
Identity Attack
Identity Misrepresentation
Insult
Sexual Aggression
Threat of Violence
Self-Inflicted Harm
Self-Harm
Ideological Harm
Extremism, Terrorism and Organized Crime
Misinformation
Exploitation
Adult Sexual Services
Child
Sexual Abuse Material
Child Sexual Abuse Material
Scams"
Detecting Harmful Content on Online Platforms: What Platforms Need vs. Where Research Efforts Go,https://dl.acm.org/doi/pdf/10.1145/3603399?casa_token=tfzESZXeFTwAAAAA:OXgyFvLUfVRNjA9WdJnJzqngTyrueZNTyWFRU9xS-kQIQdnb6PKejX4cEd-crC0_9w8C6fcfxOvYjZ4,2024,,Harmful content,
A taxonomy of cyber-harms: Defining the impacts of cyber-attacks and understanding how they propagate,https://academic.oup.com/cybersecurity/article/4/1/tyy006/5133288?login=true,,,,
TAXONOMY OF CYBERBULLYING: AN EXPLORATION OF THE DIGITAL MENACE,https://jisads.com/index.php/1/article/view/14,2023,,,
Characterization and mechanical properties of offensive language taxonomy and detection techniques,https://www.sciencedirect.com/science/article/pii/S2214785321029989?casa_token=yovsWkE1548AAAAA:BWRbZVKO0IPhWH9E2_jrJHT0amMjmox-fKuAdjN_jXMjgKT_I0dVRXUhgQxTpnrKWBDcE3LyUUWs,2023,,,"Offensive language
Aggressive language
Toxic language
Hate speech"
ANNOTATION SCHEME AND EVALUATION: THE CASE OF OFFENSIVE LANGUAGE,https://hrcak.srce.hr/file/444602,2023,,Offensive language taxonomy,
